country,ISO_2,ISO_3,ranking,strength_1,strength_2,strength_3,weakness_1,weakness_2,weakness_3
Finland,FI,FIN,"Finland ranks 19th overall on the 2023 International Tax Competitiveness Index, one spot worse than in 2022.",Finland has a relatively low corporate tax rate of 20 percent.,The design of corporate and personal income taxes makes them relatively less complex than in other countries.,Finland has a territorial tax system and a broad tax treaty network with 76 countries.,Finland levies both an estate and a financial transactions tax.,Companies are limited in their ability to carry forward net operating losses and are restricted to using First-In-First-Out as the cost accounting method for inventory.,Finland’s top statutory rate on personal income is relatively high at 51.4 percent (the OECD average is 42.5 percent).
France,FR,FRA,"France ranks 36th overall on the 2023 International Tax Competitiveness Index, the same as in 2022.","France has above-average cost recovery provisions for investments in machinery, buildings, and intangibles.","After several years of reductions, France’s corporate tax rate (25.8 percent) is much closer to the OECD average of 23.6 percent.","France has a broad tax treaty network, with 122 countries.","France has multiple distortionary property taxes with separate levies on estates, bank assets, financial transactions, and a wealth tax on real estate.",The tax burden on labor of 47 percent is among the highest for OECD countries.,A reduced 10 percent tax rate applies to income derived from IP rights through a so-called patent box.
Germany,DE,DEU,"Germany ranks 18th overall on the 2023 International Tax Competitiveness Index, two places better than in 2022.","Germany has a broad tax treaty network, with 96 countries.","Inventory can receive Last-In-First-Out treatment, the most neutral treatment of inventory costs.",Germany has above-average cost recovery provisions for intangible assets.,"Germany has the sixth highest corporate income tax rate among OECD countries, at 29.9 percent, including a 5.5 percent surtax.","The tax burden on labor is the second-highest in the OECD, with a total tax wedge of 47.8 percent on the average single worker.",Companies are limited in the amount of net operating losses they can use to offset income on future or previous tax returns.
Greece,GR,GRC,"Greece ranks 25th overall on the 2023 International Tax Competitiveness Index, the same place as in 2022.",The net personal tax rate of 5 percent on dividends is significantly below the OECD average of 24.2 percent.,The corporate income tax rate of 22 percent is below the OECD average of 23.6 percent.,Controlled Foreign Corporation rules in Greece are modest and only apply to passive income.,"Companies are severely limited in the amount of net operating losses they can use to offset future profits, and companies cannot use losses to reduce past taxable income.",Greece has a relatively narrow tax treaty network (56 treaties compared to an OECD average of 74 treaties).,"At 24 percent, Greece has one of the highest VAT rates applied to the narrowest base in the OECD, covering only 36 percent of final consumption."
Hungary,HU,HUN,"Hungary ranks 11th overall on the 2023 International Tax Competitiveness Index, the same as in 2022.","Hungary has the lowest corporate tax rate in the OECD, at 9 percent.",Personal income is taxed at a flat rate of 15 percent.,"Hungary operates a territorial tax system that fully exempts dividends and capital gains, does not have withholding taxes, and has better-than-average CFC rules.","Companies are severely limited in the amount of net operating losses they can use to offset future profits, and companies cannot use losses to reduce past taxable income.","Hungary levies the highest VAT rate among OECD countries, at 27 percent, albeit on a relatively broad base.","Hungary levies taxes on estates, real estate transfers, financial transactions, and bank assets."
Iceland,IS,ISL,"Iceland ranks 32nd overall on the 2023 International Tax Competitiveness Index, two places better than in 2022.","Iceland’s corporate tax rate of 20 percent is below the OECD average of 23.6 percent, and cost recovery for industrial buildings is one of the best in the OECD.",Personal income taxes are less complex and create a slightly lower tax burden on labor than the OECD average.,Iceland has a territorial tax system that fully exempts foreign dividends and capital gains with no country limitations.,"Companies are severely limited in the amount of net operating losses they can use to offset future profits, and companies cannot use losses to reduce past taxable income.",The VAT of 24 percent applies to a relatively narrow tax base.,Iceland's Controlled Foreign Corporation rules apply to both passive and active income.
Ireland,IE,IRL,"Ireland ranks 28th overall on the 2023 International Tax Competitiveness Index, two spots better than in 2022.",Ireland has a low corporate tax rate of 12.5 percent.,"Net operating losses can be carried back one year and carried forward indefinitely, allowing companies to be taxed on their average profitability.",The tax treaty network (73 treaties) is just below the average of 74 countries.,Ireland's personal tax rate on dividend income of 51 percent is the highest among OECD countries.,The VAT rate of 23 percent is one of the highest in the OECD and applies to a relatively narrow tax base.,Corporations are limited in their ability to write off investments.
Israel,IL,ISR,"Israel ranks 8th overall on the 2023 International Tax Competitiveness Index, the same as in 2022.",Net operating losses can be carried forward indefinitely.,The VAT rate is relatively low at 17 percent and applies to a relatively broad base.,Israel does not levy wealth or estate taxes.,Israel has complex incentives that reduce the corporate tax rate to as low as 7.5 percent on certain technology companies. ,The steep progressivity of Israel's taxes on labor leads to efficiency costs.,"Israel has a relatively narrow tax treaty network of 60 countries (the OECD average is 74), combined with high withholding tax rates on dividends, royalties, and interest."
Italy,IT,ITA,"Italy ranks 37th overall on the 2023 International Tax Competitiveness Index, the same as in 2022.","Italy has above-average cost recovery provisions for investments in machinery, buildings, and intangibles, as well as an allowance for corporate equity (ACE).",Last-In-First-Out treatment of the cost of inventory is allowed. ,"Italy has a broad tax treaty network, with 101 countries.","Italy has multiple distortionary property taxes with separate levies on real estate transfers, estates, and financial transactions, as well as a wealth tax on selected assets.",The VAT rate of 22 percent applies to the fifth-narrowest consumption tax base in the OECD.,The corporate tax rate of 27.8 percent is above the OECD average of 23.6 percent.
Japan,JP,JPN,"Japan ranks 24th overall on the 2023 International Tax Competitiveness Index, two spots better than in 2022.",Japan has a low VAT rate of 10 percent.,"The consumption tax base is relatively broad, covering 70 percent of consumption.","Japan’s personal income tax rate on dividends is 20.3 percent, below the OECD average of 24 percent.",Japan has a corporate tax system with a high rate of 29.7 percent and poor cost recovery provisions for business investments in machinery and buildings.,"Japan has a hybrid international tax system with a 95 percent exemption for foreign dividends and no exemption for foreign capital gains, while many OECD countries have moved to a fully territorial system.",Companies are severely limited in the amount of net operating losses they can use to offset future profits.
Korea,KR,KOR,"Korea ranks 23rd overall on the 2023 International Tax Competitiveness Index, the same as in 2022.","Korea has a low VAT of 10 percent that is applied to a relatively broad base, covering 72 percentof final consumption.","Korea has a broad tax treaty network, with 93 countries.",Business investments in machinery receive better-than-average treatment for corporate write-offs.,"Korea has multiple distortionary property taxes with separate levies on real estate, estates, and financial transactions.",The personal income tax rate on dividends is 44 percent (compared to an OECD average of 24.2 percent).,Korea is one of the few OECD countries that operates a worldwide corporate tax system (rather than a territorial system).
Latvia,LV,LVA,"Latvia ranks 2nd overall on the 2023 International Tax Competitiveness Index, the same as in 2022.","Latvia's corporate income tax system only taxes distributed earnings, allowing companies to reinvest their profits tax-free.",Corporations can deduct property taxes when calculating taxable income.,"Taxes on labor are relatively flat, allowing the government to raise revenue from taxes on workers with very few distortions.","Latvia's network of tax treaties includes 62 countries, a relatively low number.",Latvia’s thin-capitalization rules are among the stricter ones in the OECD.,The threshold at which the VAT applies is significantly higher than the average VAT threshold for OECD countries.
Lithuania,LT,LTU,"Lithuania ranks 9th overall on the 2023 International Tax Competitiveness Index, the same as in 2022.","Business investments in machinery, buildings, and intangibles receive better-than-average tax treatment.","Lithuania's corporate tax rate is 15 percent, well below the OECD average of 23.6 percent.","Lithuania’s taxes on labor are flatter than average, allowing the government to raise revenue from taxes on workers with very few distortions.","Lithuania has tax treaties with just 54 countries, below the OECD average (74 countries).",Lithuania has both a patent box and a super deduction for Research and Development expenditures.,The threshold at which the VAT applies is more than twice as high as the OECD average threshold.
Luxembourg,LU,LUX,"Luxembourg ranks 6th overall on the 2023 International Tax Competitiveness Index, one spot better than in 2022.",Business investments in machinery and intangibles receive better-than-average tax treatment.,Luxembourg applies its relatively low VAT rate of 17 percent to 86 percent of final consumption.,"Capital gains are tax-exempt if a movable asset such as shares was held for at least six months, encouraging long-term savings.",Companies are limited in the time period in which they can use net operating losses to offset future profits and are unable to use losses to offset past taxable income.,"Luxembourg has several distortionary property taxes with separate levies on real estate transfers, estates, and corporate net assets.",Luxembourg has a solidarity tax which acts as a 7 percent surtax on personal income and a 7 to 9 percent surtax on personal income.
Mexico,MX,MEX,"Mexico ranks 26th overall on the 2023 International Tax Competitiveness Index, two places better than in 2022.","The personal income tax rate on dividends is 17.1 percent, below the OECD average of 24.1 percent.",Corporations can deduct property taxes when calculating taxable income.,Mexico allows for Last-In-First-Out treatment of the cost of inventory.,Business losses are severely restricted in the amount of profits that can be offset over time. ,"The VAT base is the narrowest in the OECD, with only 37 percent of final consumption being taxed.",Mexico has a worldwide tax system with the highest withholding tax rate in the OECD of 35 percent on interest and royalties and a relatively small treaty network of 59 countries (OECD average of 74 countries).
Netherlands,NL,NLD,"The Netherlands ranks 14th overall on the 2023 International Tax Competitiveness Index, the same as in 2022.","The Netherlands allows net operating losses to be carried back one year, and the Last-In-First-Out treatment of the cost of inventory is allowed.","The Netherlands has a territorial tax system exempting both foreign dividends and capital gains and a broad tax treaty network, with 92 countries.",Corporations can deduct property taxes when calculating taxable income.,The Netherlands has a progressive tax system with a combined top rate on personal income of 49.5 percent.,The capital gains rate of 32 percent is significantly above the OECD average of 19.3 percent.,Companies are limited in the time period in which they can use net operating losses to offset future profits.
New Zealand,NZ,NZL,"New Zealand ranks 3rd overall on the 2023 International Tax Competitiveness Index, the same as in 2022.","New Zealand levies no taxes on inheritance, property transfers, assets, capital gains, or financial transactions.",The VAT of 15 percent applies to nearly the entire potential consumption tax base.,"New Zealand allows corporate losses to be carried forward indefinitely, allowing businesses to be taxed on their average profitability.",New Zealand has an above-average corporate tax rate of 28 percent (the OECD average is 23.6 percent) and relatively poor cost recovery provisions for business investments.,"New Zealand has a narrow tax treaty network, with 40 countries.",The cost of inventory can be accounted for using First-In-First-Out method or the average cost method (Last-In-First-Out is not permitted).
Norway,NO,NOR,"Norway ranks 17th overall on the 2023 International Tax Competitiveness Index, one place worse than in 2022.",Norway allows corporate losses to be carried forward indefinitely. ,Norway’s corporate income tax rate of 22 percent is close to the OECD average (23.6 percent).,"Norway has a territorial tax system, a network of 87 tax treaties, and no withholding taxes on interest and royalties.",Corporations are limited in their ability to write off investments.,Norway is one of the few OECD countries that levies a net wealth tax.,Controlled Foreign Corporation rules are applied to both passive and active income.
Poland,PL,POL,"Poland ranks 33rd overall on the 2023 International Tax Competitiveness Index, the same as in 2022.",Poland has a below-average corporate tax rate of 19 percent (OECD average is 23.6 percent) and an ACE that limits the debt-bias of taxation.,"Poland's taxes on labor are generally flat, allowing the government to raise revenue from taxes on workers with relative low efficiency costs.",Poland has a broad tax treaty network including 86 countries.,"Poland has multiple distortionary property taxes with separate levies on real estate transfers, estates, bank assets, and financial transactions.",Companies are severely limited in the amount of net operating losses they can use to offset future profits and are unable to use losses to reduce past taxable income.,Companies can write off just 33.8 percent of the cost of industrial buildings in real terms (the OECD average is 48.9 percent).
Portugal,PT,PRT,"Portugal ranks 34th overall on the 2023 International Tax Competitiveness Index, one place better than in 2022.","Corporations can deduct their property taxes from their taxable income, and there is an ACE.","Portugal has a territorial tax system, exempting foreign dividend and capital gains income for most countries.",Portugal provides above-average capital cost write-offs for investments in machinery.,"Portugal has a high corporate tax rate of 31.5 percent, including multiple surtaxes (the OECD average is 23.6 percent).",The VAT at a rate of 23 percent applies to just half of the potential consumption tax base.,"Portugal has a high top tax rate on personal income of 53 percent, including top-up taxes."
Slovak Republic,SK,SVK,"The Slovak Republic ranks 12th overall on the 2023 International Tax Competitiveness Index, the same as in 2022.",The personal income rate on dividends is very low at 7 percent (compared to an OECD average of 24 percent).,"The Slovak Republic has better-than-average tax treatment of business investment in machinery, buildings, and intangibles.",Corporations can deduct property taxes when calculating taxable income.,Companies are severely limited in the amount of net operating losses they can use to offset future profits and are unable to use losses to reduce past taxable income.,The VAT of 20 percent applies to approximately half of the potential consumption tax base.,"The Slovak Republic has both a patent box and a super deduction for Research and Development expenditures, adding to the complexity of the system."
Slovenia,SI,SVN,"Slovenia ranks 16th overall on the 2023 International Tax Competitiveness Index, three places better than in 2022.","Slovenia has a 19 percent corporate tax rate, below the OECD average (23.6 percent).",Slovenia’s 22 percent VAT applies to a tax base of roughly the OECD average.,"Capital gains taxes are reduced the longer assets are held (a zero percent rate applies after holding an asset for at least 20 years), encouraging long-term savings.",Slovenia’s tax treatment of investments in buildings and intangibles is below the OECD average.,"Slovenia has a relatively narrow tax treaty network, with 59 countries, and only a partial territorial tax system.","Slovenia has multiple distortionary property taxes with separate levies on real estate transfers, estates, and bank assets."
Spain,ES,ESP,"Spain ranks 31st overall on the 2023 International Tax Competitiveness Index, one place better than in 2022.",Spain has a territorial tax system that exempts 95 percent of foreign dividends and capital gains income from taxation.,The Spanish tax treaty network is made up of 95 countries.,Property taxes can be deducted against corporate income taxes.,The VAT of 21 percent applies to less than half of the potential tax base.,"Spain has multiple distortionary property taxes with separate levies on real estate transfers, net wealth, estates, and financial transactions.",Spain has both a patent box and a credit for Research and Development.
Sweden,SE,SWE,"Sweden ranks 13th overall on the 2023 International Tax Competitiveness Index, the same as in 2022.","Sweden provides for net operating losses to be carried forward indefinitely, allowing for corporations to be taxed on their average profitability.",Sweden has a territorial tax system that exempts both foreign dividends and capital gains income from taxation without any country limitations.,"Sweden has a broad tax treaty network, with 85 countries.","Sweden’s personal dividend tax rate and capital gains tax rate are both 30 percent, above the OECD average (24 percent for dividends and 19 percent for capital gains).",Sweden has a top statutory personal income tax rate of 52.2 percent.,Sweden has Controlled Foreign Corporation rules that apply to both passive and active income.
Switzerland,CH,CHE,"Switzerland ranks 4th overall on the 2023 International Tax Competitiveness Index, the same as in 2022.","Switzerland has above-average cost recovery provisions for investments in machinery, buildings, and intangibles.",Switzerland has a broad tax treaty network with 102 countries and no CFC rules.,The Swiss VAT of 7.7 percent applies to a broad base that covers 71 percent of final consumption.,"Switzerland has multiple distortionary property taxes with separate levies on real estate transfers, net wealth, estates, assets, and financial transactions.",Companies are limited in the time period in which they can use net operating losses to offset future profits and are unable to use losses to reduce past taxable income.,The VAT exemption threshold is almost twice as high as the OECD average.
Turkey,TR,TUR,"Turkey ranks 7th overall on the 2023 International Tax Competitiveness Index, three places better than in 2022.",Turkey has a territorial tax system exempting foreign dividends and capital gains income without any country limitations.,"The personal income tax on dividends is 20 percent, below the OECD average (24 percent).","Turkey provides an ACE, addressing the debt bias inherent to the standard corporate income tax.",Companies are severely limited in the time period in which they can use net operating losses to offset future profits and are unable to use losses to reduce past taxable income.,Turkey's VAT rate of 18 percent applies to less than half of the potential tax base.,"Turkey has multiple distortionary property taxes with separate levies on real estate transfers, estates, and financial transactions."
United Kingdom,GB,GBR,"The United Kingdom ranks 30th overall on the 2023 International Tax Competitiveness Index, three places worse than in 2022.",The UK provides full expensing for business investments in machinery and above-average cost recovery for investments in intangible assets.,The UK has a territorial tax system exempting both foreign dividend and capital gains income without any country limitations.,The UK tax treaty network with 130 countries is the broadest in the OECD.,"The top personal income tax rate on dividends is 39.35 percent, well above the OECD average (24.2 percent).",The real property tax burden is among the highest in the OECD.,The VAT at a rate of 20 percent applies to less than half of the potential consumption tax base.
United States,US,USA,"The United States ranks 21st overall on the 2023 International Tax Competitiveness Index, the same as in 2022.",The U.S. allows for Last-In-First-Out treatment of the cost of inventory.,Corporations can deduct property taxes when calculating taxable income.,U.S. states have relatively low sales taxes of 7.7 percent on average,U.S. states’ sales taxes apply on average less than 40 percent of the potential tax base.,The U.S. has a partial territorial system and does not exempt foreign capital gains income.,The real property tax burden is among the highest in the OECD.
