"country","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","cfc_income","cfc_exemption","thin_capitalization_rules"
"Finland","100.0%","100.0%","EU member states and EEA member states or double tax treaty","20.0%","0.0%","20.0%","76","Yes","All Income","No exemption if CFC is in a black-list jurisdiction. Exemption applies if CFC is in white-list jurisdiction (based on exchange of information agreements).

Other exemptions apply based on activities and substance.","Interest deductions limited to 25% of EBITD
Net interest expenses between non-related parties limited to €3 million"
"France","95.0%","88.0%","Black-list countries are excluded","28.0%","0.0%","28.0%","122","Yes","All Income","CFC exempt if located in EU or EEA and not an artificial arrangement or if CFC is carried out trading or manufacturing (commercial or industrial) activity.","Interest deductions limited to the higher of €3 million or 30% of EBITDA
Different limits apply to related-party debt"
"Germany","95.0%","95.0%","None","26.4%","0.0%","15.8%","96","Yes","Passive","CFC exempt if located in EU or EEA and not an artificial arrangement","Interest deductions limited to 30% of EBITDA if deduction exceeds €3 million"
"Greece","100.0%","100.0%","EU member states","5.0%","15.0%","20.0%","57","Yes","Passive","Principal shares are not traded on a regulated market; subsidiary located in a non-cooperative state.

CFC exempt if located in EU or EEA and not an artificial arrangement.","Interest deductions limited to 30% of EBITDA if deduction exceeds €3 million"
"Hungary","100.0%","100.0%","None","0.0%","0.0%","0.0%","81","Yes","All income associated with non-genuine arrangements","CFC exempt if located in EU, OECD, EEA, and treaty countries and not an artificial arrangement.

Accounting profits not to exceed HUF 243,952,500 and non-trading income does not exceed HUF 24,395,250.

Accounting profits not more than 10% of its operating costs.","Interest deductions limited to the higher of €3 million or 30% of EBITDA"
"Iceland","100.0%","100.0%","None","20.0%","12.0%","20.0%","45","Yes","All Income","Exemption if CFC is resident in a treaty country and its income is not mainly financial income.

CFC exempt if located in EEA countries, or has a double-tax treaty with Iceland and not an artificial arrangement.","Interest deductions limited to 30% of EBITDA
Rule does not apply if total interest paid does not exceed ISK 100 million 
Other exemptions can apply"
"Ireland","0.0%","100.0%","EU member states and tax treaty countries","25.0%","20.0%","20.0%","73","Yes","All income associated with non-genuine arrangements","Exclusions include:

CFC with accounting profits of €750,000 or less.

Non trading income of €75,000 or less.

Transfer pricing exemption.

Essential purpose test, income that comes from arrangements that do not have the purpose to secure a tax advantage.

Several exemptions do not apply if the CFC is in jurisdiction on the EU list of non-cooperative jurisdictions.","None
However, in specific cases, interest can be reclassified as a dividend"
"Israel","100.0%","100.0%","None","30.0%","23.0%","23.0%","58","Yes","Passive","15% effective tax rate and if CFC is publicly traded","None"
"Italy","95.0%","95.0%","Black-list countries are excluded","26.0%","26.0%","22.5%","100","Yes","All Income","CFC with substantive economic activities exempted","Interest deductions limited to 30% of EBITDA"
"Japan","95.0%","0.0%","None","20.4%","20.4%","20.4%","70","Yes","Primarily passive (all income of ""paper,"" ""cash box,"" or ""black-listed"" companies)","Exemptions exist for economic substance and certain control/location criteria.
","3:1 debt-to-equity ratio (2:1 for particular repo transactions) applies
Interest deductions limited to 20% of adjusted income"
"Korea","0.0%","0.0%","N/A","22.0%","22.0%","22.0%","93","Yes","All Income","CFC rules don't apply to active income if CFC has fixed facilities engaged in business in the foreign country.

If annual income is KRW200 million or less, then CFC rules do not apply.","2:1 debt-to-equity ratio (6:1 for financial institutions) applies
Interest deductions limited to 30% of EBITDA (financial institutions exempt)"
"Latvia","100.0%","100.0%","Black-list countries are excluded","0.0%","0.0%","0.0%","62","Yes","All income associated with non-genuine arrangements","CFC exempt if profits below €750,000 or passive income below €75,000 and CFC is not based or incorporated in a tax haven","4:1 debt-to-equity ratio applies for deduction up to €3 million (certain financial institutions exempt)
Interest deductions limited to 30% of EBITDA for deduction exceeding €3 million (certain financial institutions exempt)"
"Lithuania","100.0%","100.0%","Black-list countries are excluded","15.0%","10.0%","10.0%","54","Yes","Passive","CFC exempt if country included in white list and not receiving special tax treatment (less than 50 percent of Lithuanian effective tax rate).","4:1 debt-to-equity ratio applies
Interest deductions limited to €3 million or 30% of EBITDA
Rule does not apply if entity's debt-to-equity ratio is not (or at most 2 percentage-points) lower than the group-consolidated ratio"
"Luxembourg","100.0%","100.0%","None","15.0%","0.0%","0.0%","83","Yes","All income associated with non-genuine arrangements","CFC exempt if i) not an artificial arrangement or ii) accounting profits below €750,000 or less than 10% of operating costs","€3 million or 30% of EBITDA interest expense limitation"
"Mexico","0.0%","0.0%","N/A","10.0%","35.0%","35.0%","59","Yes","All Income once a 20% passive threshold is met","None","3:1 debt to equity ratio for interest payments between related parties.

Thresholds of 30% of adjusted taxable income and MXN 20 million total interest expense apply."
"Netherlands","100.0%","100.0%","None","15.0%","0.0%","0.0%","96","Yes","Passive","CFC exempt if not an artificial arrangement","Interest deductions limited to the higher of €1 million or 30% of EBITDA"
"New Zealand","100.0%","100.0%","None","30.0%","15.0%","15.0%","40","Yes","Passive","Limited exemption for certain Australian CFCs","Numerous restrictions on debt-to-equity ratio apply"
"Norway","97.0%","100.0%","Black-list countries are excluded","25.0%","0.0%","0.0%","87","Yes","All Income","CFC exempt if located in EEA country and not an artificial arrangement or located in tax treaty country and not mainly passive income","Interest deductions limited to 25% of EBITDA if deduction exceeds NOK25 million"
"Poland","100.0%","0.0%","EU member states and EEA member states and Switzerland","19.0%","20.0%","20.0%","85","Yes","All Income","CFC exempt if not an artificial arrangement","Interest deductions limited to 30% of EBITDA if deduction exceeds PLN 3 million"
"Portugal","100.0%","100.0%","Black-list countries are excluded","25.0%","25.0%","25.0%","78","Yes","All Income","CFC exempt if located in EU and EEA countries and not an artificial arrangement
Other exemptions can apply","Interest deductions limited to the higher of €1 million or 30% of EBITDA"
"Slovak Republic","100.0%","100.0%","Countries with a tax treaty or Tax Information Exchange Agreement","35.0%","19.0%","19.0%","70","Yes","All income associated with non-genuine arrangements","None","Interest deductions limited to 25% of EBITDA (financial institutions exempted)"
"Slovenia","95.0%","47.5%","Black-list countries are excluded","15.0%","15.0%","15.0%","59","Yes","Passive","Substantial economic activities exemption","4:1 debt-to-equity ratio applies"
"Spain","95.0%","95.0%","Black-list countries are excluded","19.0%","19.0%","24.0%","93","Yes","Passive","CFC exempt if located in EU and not an artificial arrangement","Interest deductions limited to 30% of EBITDA if deduction exceeds €1 million"
"Sweden","100.0%","100.0%","None","30.0%","0.0%","0.0%","81","Yes","All Income","CFC exempt if located in EEA and not an artificial arrangement or located in white list countries","Interest deductions limited to 30% of EBITDA if deduction exceeds SEK 5 million"
"Switzerland","100.0%","100.0%","None","35.0%","35.0%","0.0%","93","No","N/A","N/A","Debt-to-equity ratios apply and vary by asset class"
"Turkey","100.0%","100.0%","None","15.0%","10.0%","20.0%","86","Yes","All Income","None","3:1 debt-to-equity ratio (6:1 for financial institutions) applies"
"United Kingdom","100.0%","100.0%","None","0.0%","20.0%","20.0%","130","Yes","All Income","Various exemptions can apply","Interest deductions limited to 30% of EBITDA if deduction exceeds GBP 2 million"
"United States","100.0%","0.0%","None","30.0%","30.0%","30.0%","66","Yes (Subpart F)","Passive","Exemptions for foreign high-taxed income can apply","Interest deductions limited to the sum of business interest income, 30% of adjusted taxable income, and floor plan financing interest"
