"country","year","vatrate"
"Luxembourg","2015","17"
"Mexico","2015","16"
"Netherlands","2015","21"
"New Zealand","2015","15"
"Norway","2015","25"
"Poland","2015","23"
"Portugal","2015","23"
"Slovak Republic","2015","20"
"Slovenia","2015","22"
"Spain","2015","21"
"Sweden","2015","25"
"Switzerland","2015","8"
"Turkey","2015","18"
"United Kingdom","2015","20"
"United States","2015","7.3"
"Australia","2016","10"
"Austria","2016","20"
"Belgium","2016","21"
"Canada","2016","5"
"Chile","2016","19"
"Czech Republic","2016","21"
"Denmark","2016","25"
"Estonia","2016","20"
"Finland","2016","24"
"France","2016","20"
"Germany","2016","19"
"Greece","2016","23"
"Hungary","2016","27"
"Iceland","2016","24"
"Ireland","2016","23"
"Israel","2016","17"
"Italy","2016","22"
"Japan","2016","8"
"Korea","2016","10"
"Latvia","2016","21"
"Lithuania","2016","21"
"Luxembourg","2016","17"
"Mexico","2016","16"
"Netherlands","2016","21"
"New Zealand","2016","15"
"Norway","2016","25"
"Poland","2016","23"
"Portugal","2016","23"
"Slovak Republic","2016","20"
"Slovenia","2016","22"
"Spain","2016","21"
"Sweden","2016","25"
"Switzerland","2016","8"
"Turkey","2016","18"
"United Kingdom","2016","20"
"United States","2016","7.3"
"Australia","2017","10"
"Austria","2017","20"
"Belgium","2017","21"
"Canada","2017","5"
"Chile","2017","19"
"Czech Republic","2017","21"
"Denmark","2017","25"
"Estonia","2017","20"
"Finland","2017","24"
"France","2017","20"
"Germany","2017","19"
"Greece","2017","24"
"Hungary","2017","27"
"Iceland","2017","24"
"Ireland","2017","23"
"Israel","2017","17"
"Italy","2017","22"
"Japan","2017","8"
"Korea","2017","10"
"Latvia","2017","21"
"Lithuania","2017","21"
"Luxembourg","2017","17"
"Mexico","2017","16"
"Netherlands","2017","21"
"New Zealand","2017","15"
"Norway","2017","25"
"Poland","2017","23"
"Portugal","2017","23"
"Slovak Republic","2017","20"
"Slovenia","2017","22"
"Spain","2017","21"
"Sweden","2017","25"
"Switzerland","2017","8"
"Turkey","2017","18"
"United Kingdom","2017","20"
"United States","2017","7.4"
"Australia","2018","10"
"Austria","2018","20"
"Belgium","2018","21"
"Canada","2018","5"
"Chile","2018","19"
"Czech Republic","2018","21"
"Denmark","2018","25"
"Estonia","2018","20"
"Finland","2018","24"
"France","2018","20"
"Germany","2018","19"
"Greece","2018","24"
"Hungary","2018","27"
"Iceland","2018","24"
"Ireland","2018","23"
"Israel","2018","17"
"Italy","2018","22"
"Japan","2018","8"
"Korea","2018","10"
"Latvia","2018","21"
"Lithuania","2018","21"
"Luxembourg","2018","17"
"Mexico","2018","16"
"Netherlands","2018","21"
"New Zealand","2018","15"
"Norway","2018","25"
"Poland","2018","23"
"Portugal","2018","23"
"Slovak Republic","2018","20"
"Slovenia","2018","22"
"Spain","2018","21"
"Sweden","2018","25"
"Switzerland","2018","7.7"
"Turkey","2018","18"
"United Kingdom","2018","20"
"United States","2018","7.4"
"Australia","2019","10"
"Austria","2019","20"
"Belgium","2019","21"
"Canada","2019","5"
"Chile","2019","19"
"Czech Republic","2019","21"
"Denmark","2019","25"
"Estonia","2019","20"
"Finland","2019","24"
"France","2019","20"
"Germany","2019","19"
"Greece","2019","24"
"Hungary","2019","27"
"Iceland","2019","24"
"Ireland","2019","23"
"Israel","2019","17"
"Italy","2019","22"
"Japan","2019","8"
"Korea","2019","10"
"Latvia","2019","21"
"Lithuania","2019","21"
"Luxembourg","2019","17"
"Mexico","2019","16"
"Netherlands","2019","21"
"New Zealand","2019","15"
"Norway","2019","25"
"Poland","2019","23"
"Portugal","2019","23"
"Slovak Republic","2019","20"
"Slovenia","2019","22"
"Spain","2019","21"
"Sweden","2019","25"
"Switzerland","2019","7.7"
"Turkey","2019","18"
"United Kingdom","2019","20"
"United States","2019","7.4"
