STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COU,Country,STAT_DIV_TAX,Overall statutory tax rates on dividend income,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,EST,Estonia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2022,,20,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,EST,Estonia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2023,,20,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,LVA,Latvia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2018,,20,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,LVA,Latvia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2019,,20,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,LVA,Latvia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2020,,20,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,LVA,Latvia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2021,,20,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,LVA,Latvia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2022,,20,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,LVA,Latvia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2023,,20,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,SVK,Slovak Republic,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2004,,19,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,SVK,Slovak Republic,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2005,,19,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,SVK,Slovak Republic,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2006,,19,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,SVK,Slovak Republic,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2007,,19,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,SVK,Slovak Republic,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2008,,19,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,SVK,Slovak Republic,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2009,,19,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,SVK,Slovak Republic,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2010,,19,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,SVK,Slovak Republic,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2011,,19,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,SVK,Slovak Republic,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2012,,19,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,LVA,Latvia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2003,,19,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2007,,28,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2008,,28,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2009,,28,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2000,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2001,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2002,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,GRC,Greece,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2002,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,GRC,Greece,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2003,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,GRC,Greece,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2004,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,TUR,Türkiye,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2018,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,TUR,Türkiye,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2019,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,COL,Colombia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2000,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,COL,Colombia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2001,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,COL,Colombia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2002,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2004,,33,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,NZL,New Zealand,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2011,,33,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,NZL,New Zealand,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2012,,33,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,NZL,New Zealand,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2014,,33,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,NZL,New Zealand,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2015,,33,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,NZL,New Zealand,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2016,,33,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,NZL,New Zealand,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2017,,33,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,NZL,New Zealand,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2018,,33,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,NZL,New Zealand,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2019,,33,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,NZL,New Zealand,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2020,,33,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,NZL,New Zealand,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2013,,33,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,COL,Colombia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2008,,33,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,COL,Colombia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2009,,33,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,COL,Colombia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2010,,33,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,COL,Colombia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2011,,33,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,COL,Colombia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2012,,33,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2014,,42,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2015,,42,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2016,,42,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2017,,42,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2018,,42,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2019,,42,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2020,,42,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2021,,42,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2022,,42,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,MEX,Mexico,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2023,,42,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,ITA,Italy,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2012,,42,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,ITA,Italy,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2013,,42,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,ITA,Italy,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2014,,42,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,PRT,Portugal,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2004,,42,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,PRT,Portugal,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2005,,42,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,PRT,Portugal,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2006,,42,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,HUN,Hungary,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2009,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,GRC,Greece,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2000,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,GRC,Greece,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2011,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,GRC,Greece,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2012,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,SVN,Slovenia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2006,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,CHL,Chile,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2003,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,CHL,Chile,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2004,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,CHL,Chile,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2005,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,CHL,Chile,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2006,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,CHL,Chile,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2007,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,CHL,Chile,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2008,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,CHL,Chile,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2009,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,CHL,Chile,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2010,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,CHL,Chile,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2011,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,CHL,Chile,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2012,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,CHL,Chile,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2013,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,CHL,Chile,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2014,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,CHL,Chile,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2015,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,CHL,Chile,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2016,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,COL,Colombia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2016,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,AUS,Australia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2000,,48.50515,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,AUS,Australia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2001,,48.48455,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,AUS,Australia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2002,,48.48455,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,AUS,Australia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2004,,48.48455,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,AUS,Australia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2005,,48.48455,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,AUS,Australia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2006,,46.536039,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,AUS,Australia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2007,,46.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II4(1.0),Table II.4. Overall statutory tax rates on dividend income,I,AUS,Australia,OVER_PIT_PLUS_CIT_RATE,Overall PIT + CIT rate,2008,,46.5,,A,,PC,Percentage,0,Units,,
