,Participation Exemption,,,Withholding Taxes,,,,Base Erosion Protections,,,
France,95%,88%,Black-list countries are excluded,28.00%,0.00%,28.00%,122,Yes,All Income,CFC exempt if located in EU or EEA and not an artificial arrangement or if CFC carries out trading or manufacturing (commercial or industrial) activity.,"Interest deductions limited to the higher of EUR 3 million or 30% of EBITDA

Different limits apply to related-party debt"
Germany,95%,95%,None,26.40%,0.00%,15.80%,96,Yes,Passive,CFC exempt if located in EU or EEA and not an artificial arrangement.,Interest deductions limited to 30% of EBITDA if deduction exceeds EUR 3 million
Greece,100%,100%,EU member states,5.00%,15.00%,20.00%,57,Yes,Passive,CFC exempt if located in EU or EEA and not an artificial arrangement.,Interest deductions limited to 30% of EBITDA if deduction exceeds EUR 3 million
Hungary,100%,100%,None,0.00%,0.00%,0.00%,81,Yes,All income associated with non-genuine arrangements,"CFC exempt if located in EU, OECD, EEA, and treaty countries and not an artificial arrangement.

Accounting profits not to exceed HUF 243,952,500 and non-trading income does not exceed HUF 24,395,250.

Accounting profits not more than 10% of its operating costs.",Interest deductions limited to the higher of EUR 3 million or 30% of EBITDA
Iceland ,100%,100%,None,20.00%,12.00%,20.00%,45,Yes,All Income,"CFC exempt if located in EEA countries, or has a double-tax treaty with Iceland and not an artificial arrangement.","Interest deductions limited to 30% of EBITDA

Rule does not apply if total interest paid does not exceed ISK 100 million

Other exemptions can apply"
Ireland,0%,100%,EU member states and tax treaty countries,25.00%,20.00%,20.00%,73,Yes,All income associated with non-genuine arrangements,"Exclusions include:

CFC with accounting profits of EUR 750,000 or less.

Non- trading income of EUR 75,000 or less.

Transfer pricing exemption.

Essential purpose test, income that comes from arrangements that do not have the purpose to secure a tax advantage.

Several exemptions do not apply if the CFC is in jurisdiction on the EU list of non-cooperative jurisdictions.","None

However, in specific cases, interest can be reclassified as a dividend"
Israel,100%,100%,None,30.00%,23.00%,23.00%,58,Yes,Passive,CFC exempt if at least 15% effective tax rate and if CFC is publicly traded.,None
Italy,95%,95%,Blacklist countries are excluded,26.00%,26.00%,22.50%,100,Yes,All Income,CFC with substantive economic activities exempted.,Interest deductions limited to 30% of EBITDA
Japan,95%,0%,None,20.40%,20.40%,20.40%,70,Yes,"Primarily passive (all income of “paper,” “cash box,” or “blacklisted” companies)",Exemptions exist for economic substance and certain control/location criteria.,"3:1 debt-to-equity ratio (2:1 for particular repo transactions) applies

Interest deductions limited to 20% of adjusted income"
Korea,0%,0%,N/A,22.00%,22.00%,22.00%,93,Yes,All Income,"CFC rules don't apply to active income if CFC has fixed facilities engaged in business in the foreign country.

If annual income is KRW 200 million or less, then CFC rules do not apply.","2:1 debt-to-equity ratio (6:1 for financial institutions) applies

Interest deductions limited to 30% of EBITDA (financial institutions exempt)"
Latvia,100%,100%,Black-list countries are excluded,0.00%,0.00%,0.00%,62,Yes,All income associated with non-genuine arrangements,"CFC exempt if profits below EUR 750,000 or passive income below EUR 75,000 and CFC is not based or incorporated in a tax haven.","4:1 debt-to-equity ratio applies for deduction up to EUR 3 million (certain financial institutions exempt)

Interest deductions limited to 30% of EBITDA for deduction exceeding EUR 3 million (certain financial institutions exempt)"
Lithuania,100%,100%,Black-list countries are excluded,15.00%,10.00%,10.00%,54,Yes,Passive,CFC exempt if country included in white list and not receiving special tax treatment (less than 50 percent of Lithuanian effective tax rate).,"4:1 debt-to-equity ratio applies

Interest deductions limited to EUR 3 million or 30% of EBITDA

Rule does not apply if entity's debt-to-equity ratio is not (or at most 2 percentage-points) lower than the group-consolidated ratio"
Luxembourg,100%,100%,None,15.00%,0.00%,0.00%,83,Yes,All income associated with non-genuine arrangements,"CFC exempt if i) not an artificial arrangement or ii) accounting profits below EUR 750,000 or less than 10% of operating costs.",Interest deductions limited to the higher of EUR 3 million or 30% of EBITDA
Mexico,0%,0%,N/A,10.00%,35.00%,35.00%,59,Yes,All income once a 20% passive threshold is met,None.,"3:1 debt to equity ratio for interest payments between related parties

Limits of 30% of adjusted taxable income and MXN 20 million in total interest expense apply"
Netherlands,100%,100%,None,15.00%,0.00%,0.00%,96,Yes,Passive,CFC exempt if not an artificial arrangement.,Interest deductions limited to the higher of EUR 1 million or 30% of EBITDA
New Zealand,100%,100%,None,30.00%,15.00%,15.00%,40,Yes,Passive,Limited exemption for certain Australian CFCs.,Numerous restrictions on debt-to-equity ratio apply
Norway,97%,100%,Black-list countries are excluded,25.00%,0.00%,0.00%,87,Yes,All Income,CFC exempt if located in EEA country and not an artificial arrangement or located in tax treaty country and not mainly passive income.,Interest deductions limited to 25% of EBITDA if deduction exceeds NOK 25 million
Poland,100%,0%,EU member states and EEA member states and Switzerland,19.00%,20.00%,20.00%,85,Yes,All Income,CFC exempt if not an artificial arrangement.,Interest deductions limited to 30% of EBITDA if deduction exceeds PLN 3 million
Portugal,100%,100%,Black-list countries are excluded,25.00%,25.00%,25.00%,78,Yes,All Income,"CFC exempt if located in EU and EEA countries and not an artificial arrangement.

Other exemptions can apply.",Interest deductions limited to the higher of EUR 1 million or 30% of EBITDA
Slovak Republic,100%,100%,Countries with a tax treaty or Tax Information Exchange Agreement,35.00%,19.00%,19.00%,70,Yes,All income associated with non-genuine arrangements,None.,Interest deductions limited to 25% of EBITDA (financial institutions exempted)
Slovenia,95%,47.50%,Blacklist countries are excluded,15.00%,15.00%,15.00%,59,Yes,Passive,Substantial economic activities exemption.,4:1 debt-to-equity ratio applies
Spain,95%,95%,Blacklist countries are excluded,19.00%,19.00%,24.00%,93,Yes,Passive,CFC exempt if located in EU and not an artificial arrangement.,Interest deductions limited to 30% of EBITDA if deduction exceeds EUR 1 million
Sweden    ,100%,100%,None,30.00%,0.00%,0.00%,81,Yes,All Income,CFC exempt if located in EEA and not an artificial arrangement or located in white list countries.,Interest deductions limited to 30% of EBITDA if deduction exceeds SEK 5 million
Switzerland,100%,100%,None,35.00%,35.00%,0.00%,93,No,N/A,N/A,Debt-to-equity ratios apply and vary by asset class
Turkey,100%,100%,None,15.00%,10.00%,20.00%,86,Yes,All Income,None.,3:1 debt-to-equity ratio (6:1 for financial institutions) applies
United Kingdom,100%,100%,None,0.00%,20.00%,20.00%,130,Yes,All Income,Various exemptions can apply.,Interest deductions limited to 30% of EBITDA if deduction exceeds GBP 2 million
United States,100%,0%,None,30.00%,30.00%,30.00%,66,Yes (Subpart F),Passive,Exemptions for foreign high-taxed income can apply.,"Interest deductions limited to the sum of business interest income, 30% of adjusted taxable income, and floor plan financing interest"
