ISO_3,country,year,property_tax_collections
COL,Colombia,2020,0.000143463
COL,Colombia,2021,0.000147312
COL,Colombia,2022,0.000129739
COL,Colombia,2023,0.000142808
CRI,Costa Rica,2012,0.000299782
CRI,Costa Rica,2013,0.000329861
CRI,Costa Rica,2014,0.000319381
CRI,Costa Rica,2015,0.00034188
CRI,Costa Rica,2016,0.000353182
CRI,Costa Rica,2017,0.0003455
CRI,Costa Rica,2018,0.0003362
CRI,Costa Rica,2019,0.000367704
CRI,Costa Rica,2020,0.000380161
CRI,Costa Rica,2021,0.000419908
CRI,Costa Rica,2022,0.000409936
CRI,Costa Rica,2023,0.000505989
CZE,Czech Republic,2012,0.004693148
CZE,Czech Republic,2013,0.00475123
CZE,Czech Republic,2014,0.004378251
CZE,Czech Republic,2015,0.003746366
CZE,Czech Republic,2016,0.003791491
CZE,Czech Republic,2017,0.003901195
CZE,Czech Republic,2018,0.004080428
CZE,Czech Republic,2019,0.00386901
CZE,Czech Republic,2020,0.004020387
CZE,Czech Republic,2021,0.00432172
CZE,Czech Republic,2022,0.004116645
CZE,Czech Republic,2023,0.004302784
DEU,Germany,2012,0.251687194
DEU,Germany,2013,0.261049601
DEU,Germany,2014,0.261472275
DEU,Germany,2015,0.221831266
DEU,Germany,2016,0.223960106
DEU,Germany,2017,0.226481689
DEU,Germany,2018,0.231312819
DEU,Germany,2019,0.225182451
DEU,Germany,2020,0.236016134
DEU,Germany,2021,0.250531375
DEU,Germany,2022,0.225100814
DEU,Germany,2023,0.233055564
DNK,Denmark,2012,0.115015962
DNK,Denmark,2013,0.12453995
DNK,Denmark,2014,0.127154777
DNK,Denmark,2015,0.107847918
DNK,Denmark,2016,0.106000681
DNK,Denmark,2017,0.105188605
DNK,Denmark,2018,0.109890079
DNK,Denmark,2019,0.107364457
DNK,Denmark,2020,0.112331848
DNK,Denmark,2021,0.117727789
DNK,Denmark,2022,0.105086517
DNK,Denmark,2023,0.109832059
ESP,Spain,2012,0.601715175
ESP,Spain,2013,0.682532248
ESP,Spain,2014,0.721736806
ESP,Spain,2015,0.609257539
ESP,Spain,2016,0.61438495
ESP,Spain,2017,0.631076856
ESP,Spain,2018,0.653997887
ESP,Spain,2019,0.628060199
ESP,Spain,2020,0.640610834
ESP,Spain,2021,0.705459565
ESP,Spain,2022,0.624116907
ESP,Spain,2023,0.645150868
EST,Estonia,2012,0.21024744
EST,Estonia,2013,0.200150039
EST,Estonia,2014,0.196724184
EST,Estonia,2015,0.154736377
EST,Estonia,2016,0.152306389
EST,Estonia,2017,0.144662127
EST,Estonia,2018,0.14284503
EST,Estonia,2019,0.130030886
EST,Estonia,2020,0.126445075
EST,Estonia,2021,0.126069509
EST,Estonia,2022,0.11094527
EST,Estonia,2023,0.11156757
FIN,Finland,2012,0.345711388
FIN,Finland,2013,0.373599471
FIN,Finland,2014,0.410172164
FIN,Finland,2015,0.360618028
FIN,Finland,2016,0.369458788
FIN,Finland,2017,0.389747749
FIN,Finland,2018,0.401323466
FIN,Finland,2019,0.39433596
FIN,Finland,2020,0.420960546
FIN,Finland,2021,0.437728993
FIN,Finland,2022,0.403307355
FIN,Finland,2023,0.42733848
FRA,France,2012,1.438074409
FRA,France,2013,1.531446968
FRA,France,2014,1.53658195
FRA,France,2015,1.319333034
FRA,France,2016,1.34384735
FRA,France,2017,1.372917072
FRA,France,2018,1.365475352
FRA,France,2019,1.266623195
FRA,France,2020,1.249634864
FRA,France,2021,1.211166441
FRA,France,2022,1.067264127
FRA,France,2023,1.134365695
GBR,United Kingdom,2012,2.748556747
GBR,United Kingdom,2013,2.754668956
GBR,United Kingdom,2014,2.905901384
GBR,United Kingdom,2015,2.706127785
GBR,United Kingdom,2016,2.392735268
GBR,United Kingdom,2017,2.286342299
GBR,United Kingdom,2018,2.417691865
GBR,United Kingdom,2019,2.400211532
GBR,United Kingdom,2020,2.176808716
GBR,United Kingdom,2021,2.466120441
GBR,United Kingdom,2022,2.42305668
GBR,United Kingdom,2023,2.569677332
GRC,Greece,2012,0.89292371
GRC,Greece,2013,0.889713336
GRC,Greece,2014,1.188194881
GRC,Greece,2015,1.12594292
GRC,Greece,2016,1.206051908
GRC,Greece,2017,1.264583307
GRC,Greece,2018,1.340056794
GRC,Greece,2019,1.211366474
GRC,Greece,2020,1.212973725
GRC,Greece,2021,1.342741987
GRC,Greece,2022,1.163596474
GRC,Greece,2023,1.163596474
HUN,Hungary,2012,0.000912198
HUN,Hungary,2013,0.001325303
HUN,Hungary,2014,0.001247808
HUN,Hungary,2015,0.001054564
HUN,Hungary,2016,0.001066982
HUN,Hungary,2017,0.001089647
HUN,Hungary,2018,0.001026491
HUN,Hungary,2019,0.000920137
HUN,Hungary,2020,0.00084668
HUN,Hungary,2021,0.000853701
HUN,Hungary,2022,0.000677507
HUN,Hungary,2023,0.000792022
IRL,Ireland,2012,0.552062522
IRL,Ireland,2013,0.656750035
IRL,Ireland,2014,0.695466453
IRL,Ireland,2015,0.52443147
IRL,Ireland,2016,0.459596031
IRL,Ireland,2017,0.424174234
IRL,Ireland,2018,0.41213806
IRL,Ireland,2019,0.321195448
IRL,Ireland,2020,0.184818216
IRL,Ireland,2021,0.258487698
IRL,Ireland,2022,0.27900481
IRL,Ireland,2023,0.305855429
ISL,Iceland,2012,0.005710156
ISL,Iceland,2013,0.006090912
ISL,Iceland,2014,0.006761806
ISL,Iceland,2015,0.006269917
ISL,Iceland,2016,0.007423913
ISL,Iceland,2017,0.009224622
ISL,Iceland,2018,0.008884243
ISL,Iceland,2019,0.00872631
ISL,Iceland,2020,0.008329026
ISL,Iceland,2021,0.008916183
ISL,Iceland,2022,0.008672521
ISL,Iceland,2023,0.009530032
ISR,Israel,2012,0.314230965
ISR,Israel,2013,0.334930929
ISR,Israel,2014,0.33495643
ISR,Israel,2015,0.31159976
ISR,Israel,2016,0.313154083
ISR,Israel,2017,0.33456599
ISR,Israel,2018,0.325745115
ISR,Israel,2019,0.329646388
ISR,Israel,2020,0.304685017
ISR,Israel,2021,0.364553192
ISR,Israel,2022,0.37169565
ISR,Israel,2023,0.348280578
ITA,Italy,2012,0.76829966
ITA,Italy,2013,0.694765558
ITA,Italy,2014,0.850775866
ITA,Italy,2015,0.720111703
ITA,Italy,2016,0.620127784
ITA,Italy,2017,0.633747611
ITA,Italy,2018,0.661618518
ITA,Italy,2019,0.647113086
ITA,Italy,2020,0.659476066
ITA,Italy,2021,0.725639815
ITA,Italy,2022,0.645375572
ITA,Italy,2023,0.658591376
JPN,Japan,2012,0.009585323
JPN,Japan,2013,0.008096781
JPN,Japan,2014,0.00729948
JPN,Japan,2015,0.006679927
JPN,Japan,2016,0.007317844
JPN,Japan,2017,0.007185927
JPN,Japan,2018,0.007215775
JPN,Japan,2019,0.00751734
JPN,Japan,2020,0.00771922
JPN,Japan,2021,0.007192256
JPN,Japan,2022,0.006392945
JPN,Japan,2023,0.006165263
KOR,Korea,2012,0.000270338
KOR,Korea,2013,0.000282654
KOR,Korea,2014,0.000305393
KOR,Korea,2015,0.000292161
KOR,Korea,2016,0.000285815
KOR,Korea,2017,0.000303535
KOR,Korea,2018,0.000319067
KOR,Korea,2019,0.000335192
KOR,Korea,2020,0.000364493
KOR,Korea,2021,0.000444138
KOR,Korea,2022,0.000422413
KOR,Korea,2023,0.000351753
LTU,Lithuania,2012,0.24935535
LTU,Lithuania,2013,0.25003082
LTU,Lithuania,2014,0.268988186
LTU,Lithuania,2015,0.250776296
LTU,Lithuania,2016,0.23894795
LTU,Lithuania,2017,0.234932989
LTU,Lithuania,2018,0.245539809
LTU,Lithuania,2019,0.241947619
LTU,Lithuania,2020,0.239118387
LTU,Lithuania,2021,0.257242759
LTU,Lithuania,2022,0.259578436
LTU,Lithuania,2023,0.293453184
LUX,Luxembourg,2012,0.066767673
LUX,Luxembourg,2013,0.06489918
LUX,Luxembourg,2014,0.065228026
LUX,Luxembourg,2015,0.053094606
LUX,Luxembourg,2016,0.052457506
LUX,Luxembourg,2017,0.053057024
LUX,Luxembourg,2018,0.053721838
LUX,Luxembourg,2019,0.050009109
LUX,Luxembourg,2020,0.051672645
LUX,Luxembourg,2021,0.054318808
LUX,Luxembourg,2022,0.051972929
LUX,Luxembourg,2023,0.053579571
LVA,Latvia,2012,0.495278435
LVA,Latvia,2013,0.507754522
LVA,Latvia,2014,0.542596831
LVA,Latvia,2015,0.449905962
LVA,Latvia,2016,0.49717994
LVA,Latvia,2017,0.512499989
LVA,Latvia,2018,0.498710717
LVA,Latvia,2019,0.473726936
LVA,Latvia,2020,0.468934491
LVA,Latvia,2021,0.483927399
LVA,Latvia,2022,0.432510433
LVA,Latvia,2023,0.444931373
MEX,Mexico,2012,0.007284288
MEX,Mexico,2013,0.007295973
MEX,Mexico,2014,0.007991863
MEX,Mexico,2015,0.006056186
MEX,Mexico,2016,0.004847194
MEX,Mexico,2017,0.004805721
MEX,Mexico,2018,0.00479938
MEX,Mexico,2019,0.004957825
MEX,Mexico,2020,0.004737487
MEX,Mexico,2021,0.005367208
MEX,Mexico,2022,0.006143666
MEX,Mexico,2023,0.006379539
NLD,Netherlands,2012,0.44528042
NLD,Netherlands,2013,0.526360764
NLD,Netherlands,2014,0.653944448
NLD,Netherlands,2015,0.534434824
NLD,Netherlands,2016,0.539351281
NLD,Netherlands,2017,0.564150122
NLD,Netherlands,2018,0.602451891
NLD,Netherlands,2019,0.568885458
NLD,Netherlands,2020,0.618365061
NLD,Netherlands,2021,0.623690697
NLD,Netherlands,2022,0.532230577
NLD,Netherlands,2023,0.518133413
NOR,Norway,2012,0.024574818
NOR,Norway,2013,0.0256596
NOR,Norway,2014,0.024325948
NOR,Norway,2015,0.020939156
NOR,Norway,2016,0.021470226
NOR,Norway,2017,0.023524839
NOR,Norway,2018,0.023891266
NOR,Norway,2019,0.022556591
NOR,Norway,2020,0.020904487
NOR,Norway,2021,0.023668647
NOR,Norway,2022,0.021510479
NOR,Norway,2023,0.021223611
NZL,New Zealand,2012,1.008595051
NZL,New Zealand,2013,1.036378727
NZL,New Zealand,2014,0.953866638
NZL,New Zealand,2015,0.866728806
NZL,New Zealand,2016,0.859217926
NZL,New Zealand,2017,0.846889832
NZL,New Zealand,2018,0.813171431
NZL,New Zealand,2019,0.795185611
NZL,New Zealand,2020,0.827372874
NZL,New Zealand,2021,0.854614231
NZL,New Zealand,2022,0.841411127
NZL,New Zealand,2023,0.904844379
POL,Poland,2012,0.254091958
POL,Poland,2013,0.2767285
POL,Poland,2014,0.280938524
POL,Poland,2015,0.234722414
POL,Poland,2016,0.21919214
POL,Poland,2017,0.231955642
POL,Poland,2018,0.238581434
POL,Poland,2019,0.22340585
POL,Poland,2020,0.223660998
POL,Poland,2021,0.23197677
POL,Poland,2022,0.211655893
POL,Poland,2023,0.244684379
PRT,Portugal,2012,0.368275842
PRT,Portugal,2013,0.454795748
PRT,Portugal,2014,0.494995288
PRT,Portugal,2015,0.438098987
PRT,Portugal,2016,0.429668019
PRT,Portugal,2017,0.445173707
PRT,Portugal,2018,0.476897717
PRT,Portugal,2019,0.474745528
PRT,Portugal,2020,0.472491137
PRT,Portugal,2021,0.48396256
PRT,Portugal,2022,0.431901984
PRT,Portugal,2023,0.443791086
SVK,Slovak Republic,2012,0.276020348
SVK,Slovak Republic,2013,0.290179406
SVK,Slovak Republic,2014,0.290647797
SVK,Slovak Republic,2015,0.243642083
SVK,Slovak Republic,2016,0.249792493
SVK,Slovak Republic,2017,0.255228935
SVK,Slovak Republic,2018,0.261652466
SVK,Slovak Republic,2019,0.251483445
SVK,Slovak Republic,2020,0.298325383
SVK,Slovak Republic,2021,0.326985171
SVK,Slovak Republic,2022,0.290428444
SVK,Slovak Republic,2023,0.313898862
SVN,Slovenia,2012,0.280308336
SVN,Slovenia,2013,0.307721936
SVN,Slovenia,2014,0.298405131
SVN,Slovenia,2015,0.254076665
SVN,Slovenia,2016,0.268230702
SVN,Slovenia,2017,0.285827073
SVN,Slovenia,2018,0.294681075
SVN,Slovenia,2019,0.295693686
SVN,Slovenia,2020,0.308087132
SVN,Slovenia,2021,0.336139283
SVN,Slovenia,2022,0.3048809
SVN,Slovenia,2023,0.332707507
SWE,Sweden,2012,0.053635982
SWE,Sweden,2013,0.060098063
SWE,Sweden,2014,0.055817378
SWE,Sweden,2015,0.044243986
SWE,Sweden,2016,0.043262674
SWE,Sweden,2017,0.040314014
SWE,Sweden,2018,0.037812814
SWE,Sweden,2019,0.035820852
SWE,Sweden,2020,0.036711235
SWE,Sweden,2021,0.040400361
SWE,Sweden,2022,0.036221611
SWE,Sweden,2023,0.035297445
TUR,Turkey,2012,0.057784941
TUR,Turkey,2013,0.053301079
TUR,Turkey,2014,0.052032021
TUR,Turkey,2015,0.043133492
TUR,Turkey,2016,0.038751917
TUR,Turkey,2017,0.027106442
TUR,Turkey,2018,0.020667438
TUR,Turkey,2019,0.019294225
TUR,Turkey,2020,0.017366627
TUR,Turkey,2021,0.015195204
TUR,Turkey,2022,0.009112394
TUR,Turkey,2023,0.008125105
USA,United States,2012,1.57727335
USA,United States,2013,1.567423503
USA,United States,2014,1.563558143
USA,United States,2015,1.563405392
USA,United States,2016,1.586274157
USA,United States,2017,1.596450866
USA,United States,2018,1.579888607
USA,United States,2019,1.649572249
USA,United States,2020,1.67902836
USA,United States,2021,1.677487139
USA,United States,2022,1.757687926
USA,United States,2023,1.812146669
